publisher_domain,publisher_category,ssp_domain,seller_id,relationship,verified_legal_entity
cnn.com,News & Media,adyoulike.com,30043a1a181b43d9386d7e5b259e0e3f,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,google.com,pub-5616046187545019,RESELLER,OpenWeb LTD
cnn.com,News & Media,aps.amazon.com,9eaf46de-e1bd-41c9-8a11-f5862f62cd8e,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,539466082,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,video.unrulymedia.com,449400134,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,rubiconproject.com,17184,RESELLER,"SPOT.IM, Inc."
cnn.com,News & Media,appnexus.com,6933,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,156813,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,adyoulike.com,e5ae8cdbe88e1f889aae7ee0c672ca30,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,indexexchange.com,189529,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,indexexchange.com,190532,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,lijit.com,250745,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,triplelift.com,10504,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,conversantmedia.com,100292,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,nativo.com,5740,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,themediagrid.com,PA8RET,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,sharethrough.com,FXFDQVgk,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,sharethrough.com,UN5mGpO8,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,yieldmo.com,3482865003332051270,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,smartadserver.com,4242,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,amxrtb.com,105199619,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,adipolosolutions.com,23015084430,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,seedtag.com,68409d2be7a09d000758059d,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,rubiconproject.com,20736,RESELLER,ADYOULIKE SA
cnn.com,News & Media,pubmatic.com,160925,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,lijit.com,408376,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,risecodes.com,64c7a4acd6298f0001a7d867,RESELLER,Not Tracked (Non-Top 3 SSP)
