publisher_domain,ssp_domain,seller_id,relationship,verified_legal_entity
moneycontrol.com,pubmatic.com,164400,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,indexexchange.com,194648,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,indexexchange.com,207985,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,openx.com,540224251,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-6151720204273327,RESELLER,AGA CONSULTING SERVICES LLC
moneycontrol.com,bidfuse.com,bf-6288,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,richaudience.com,1fsNorHWpU,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-9135355251665930,RESELLER,Greeter HOLDINGS LTD
moneycontrol.com,google.com,pub-6804276076764268,RESELLER,Journkey LTD
moneycontrol.com,smartadline.com,23073759535,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,gannett.com,22675194701,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-5278973888786334,RESELLER,eSell Solutions Ltd. DBA MonetizeMore
moneycontrol.com,google.com,pub-6190096338979886,RESELLER,eSell Solutions Ltd.
moneycontrol.com,monetizemore.com,dd695c8dde,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,intellectscoop.com,509,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,161652,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,onetag.com,774083553572acc,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,26884,RESELLER,Unlisted / Unknown ID
moneycontrol.com,adsolut.media,2242,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,thegermanemedia.com,407,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-6716225838534735,RESELLER,Germane Media LLC
moneycontrol.com,streamlyn.com,bsrvptr20157,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,target-video.com,330,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-7114971906786170,RESELLER,Target Video GmbH
moneycontrol.com,pubmatic.com,161997,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,161656,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,improvedigital.com,2098,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,improvedigital.com,2192,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,freewheel.tv,1605654-524565,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,freewheel.tv,sg1258192,RESELLER,Not Tracked (Non-Top 3 SSP)
